,show_id,date_added,month_added
0,s1,2021-09-25,9
1,s2,2021-09-24,9
2,s3,2021-09-24,9
3,s4,2021-09-24,9
4,s5,2021-09-24,9
5,s6,2021-09-24,9
6,s7,2021-09-24,9
6,s7,2021-09-24,9
7,s8,2021-09-24,9
7,s8,2021-09-24,9
7,s8,2021-09-24,9
7,s8,2021-09-24,9
7,s8,2021-09-24,9
7,s8,2021-09-24,9
8,s9,2021-09-24,9
9,s10,2021-09-24,9
10,s11,2021-09-24,9
11,s12,2021-09-23,9
12,s13,2021-09-23,9
12,s13,2021-09-23,9
13,s14,2021-09-22,9
14,s15,2021-09-22,9
15,s16,2021-09-22,9
16,s17,2021-09-22,9
16,s17,2021-09-22,9
17,s18,2021-09-22,9
18,s19,2021-09-22,9
19,s20,2021-09-22,9
20,s21,2021-09-22,9
21,s22,2021-09-22,9
22,s23,2021-09-21,9
23,s24,2021-09-21,9
23,s24,2021-09-21,9
24,s25,2021-09-21,9
25,s26,2021-09-21,9
26,s27,2021-09-21,9
27,s28,2021-09-20,9
28,s29,2021-09-19,9
29,s30,2021-09-19,9
29,s30,2021-09-19,9
29,s30,2021-09-19,9
30,s31,2021-09-17,9
30,s31,2021-09-17,9
30,s31,2021-09-17,9
31,s32,2021-09-17,9
32,s33,2021-09-17,9
33,s34,2021-09-17,9
34,s35,2021-09-17,9
35,s36,2021-09-17,9
36,s37,2021-09-17,9
37,s38,2021-09-16,9
38,s39,2021-09-16,9
38,s39,2021-09-16,9
38,s39,2021-09-16,9
39,s40,2021-09-16,9
40,s41,2021-09-16,9
41,s42,2021-09-16,9
42,s43,2021-09-16,9
43,s44,2021-09-16,9
44,s45,2021-09-16,9
45,s46,2021-09-16,9
46,s47,2021-09-16,9
46,s47,2021-09-16,9
46,s47,2021-09-16,9
47,s48,2021-09-16,9
48,s49,2021-09-16,9
49,s50,2021-09-15,9
50,s51,2021-09-15,9
51,s52,2021-09-15,9
52,s53,2021-09-15,9
53,s54,2021-09-15,9
54,s55,2021-09-15,9
55,s56,2021-09-15,9
56,s57,2021-09-15,9
57,s58,2021-09-15,9
58,s59,2021-09-15,9
59,s60,2021-09-15,9
60,s61,2021-09-15,9
61,s62,2021-09-15,9
62,s63,2021-09-15,9
63,s64,2021-09-15,9
64,s65,2021-09-15,9
65,s66,2021-09-15,9
66,s67,2021-09-15,9
67,s68,2021-09-15,9
68,s69,2021-09-15,9
68,s69,2021-09-15,9
68,s69,2021-09-15,9
69,s70,2021-09-15,9
70,s71,2021-09-15,9
71,s72,2021-09-14,9
72,s73,2021-09-14,9
73,s74,2021-09-14,9
74,s75,2021-09-14,9
75,s76,2021-09-14,9
76,s77,2021-09-14,9
77,s78,2021-09-11,9
78,s79,2021-09-11,9
79,s80,2021-09-11,9
80,s81,2021-09-10,9
81,s82,2021-09-10,9
82,s83,2021-09-10,9
83,s84,2021-09-10,9
84,s85,2021-09-10,9
84,s85,2021-09-10,9
85,s86,2021-09-10,9
86,s87,2021-09-10,9
