show_id,title,director,country,listed_in
s1,Dick Johnson Is Dead,Kirsten Johnson,United States,Documentaries
s2,Blood & Water,,South Africa,International TV Shows
s2,Blood & Water,,South Africa,TV Dramas
s2,Blood & Water,,South Africa,TV Mysteries
s3,Ganglands,Julien Leclercq,,Crime TV Shows
s3,Ganglands,Julien Leclercq,,International TV Shows
s3,Ganglands,Julien Leclercq,,TV Action & Adventure
s4,Jailbirds New Orleans,,,Docuseries
s4,Jailbirds New Orleans,,,Reality TV
s5,Kota Factory,,India,International TV Shows
s5,Kota Factory,,India,Romantic TV Shows
s5,Kota Factory,,India,TV Comedies
s6,Midnight Mass,Mike Flanagan,,TV Dramas
s6,Midnight Mass,Mike Flanagan,,TV Horror
s6,Midnight Mass,Mike Flanagan,,TV Mysteries
s7,My Little Pony: A New Generation,Robert Cullen,,Children & Family Movies
s7,My Little Pony: A New Generation,José Luis Ucha,,Children & Family Movies
s8,Sankofa,Haile Gerima,United States,Dramas
s8,Sankofa,Haile Gerima,United States,Independent Movies
s8,Sankofa,Haile Gerima,United States,International Movies
s8,Sankofa,Haile Gerima,Ghana,Dramas
s8,Sankofa,Haile Gerima,Ghana,Independent Movies
s8,Sankofa,Haile Gerima,Ghana,International Movies
s8,Sankofa,Haile Gerima,Burkina Faso,Dramas
s8,Sankofa,Haile Gerima,Burkina Faso,Independent Movies
s8,Sankofa,Haile Gerima,Burkina Faso,International Movies
s8,Sankofa,Haile Gerima,United Kingdom,Dramas
s8,Sankofa,Haile Gerima,United Kingdom,Independent Movies
s8,Sankofa,Haile Gerima,United Kingdom,International Movies
s8,Sankofa,Haile Gerima,Germany,Dramas
s8,Sankofa,Haile Gerima,Germany,Independent Movies
s8,Sankofa,Haile Gerima,Germany,International Movies
s8,Sankofa,Haile Gerima,Ethiopia,Dramas
s8,Sankofa,Haile Gerima,Ethiopia,Independent Movies
s8,Sankofa,Haile Gerima,Ethiopia,International Movies
s9,The Great British Baking Show,Andy Devonshire,United Kingdom,British TV Shows
s9,The Great British Baking Show,Andy Devonshire,United Kingdom,Reality TV
s10,The Starling,Theodore Melfi,United States,Comedies
s10,The Starling,Theodore Melfi,United States,Dramas
s11,"Vendetta: Truth, Lies and The Mafia",,,Crime TV Shows
s11,"Vendetta: Truth, Lies and The Mafia",,,Docuseries
s11,"Vendetta: Truth, Lies and The Mafia",,,International TV Shows
s12,Bangkok Breaking,Kongkiat Komesiri,,Crime TV Shows
s12,Bangkok Breaking,Kongkiat Komesiri,,International TV Shows
s12,Bangkok Breaking,Kongkiat Komesiri,,TV Action & Adventure
s13,Je Suis Karl,Christian Schwochow,Germany,Dramas
s13,Je Suis Karl,Christian Schwochow,Germany,International Movies
s13,Je Suis Karl,Christian Schwochow,Czech Republic,Dramas
s13,Je Suis Karl,Christian Schwochow,Czech Republic,International Movies
s14,Confessions of an Invisible Girl,Bruno Garotti,,Children & Family Movies
s14,Confessions of an Invisible Girl,Bruno Garotti,,Comedies
s15,Crime Stories: India Detectives,,,British TV Shows
s15,Crime Stories: India Detectives,,,Crime TV Shows
s15,Crime Stories: India Detectives,,,Docuseries
s16,Dear White People,,United States,TV Comedies
s16,Dear White People,,United States,TV Dramas
s17,Europe's Most Dangerous Man: Otto Skorzeny in Spain,Pedro de Echave García,,Documentaries
s17,Europe's Most Dangerous Man: Otto Skorzeny in Spain,Pedro de Echave García,,International Movies
s17,Europe's Most Dangerous Man: Otto Skorzeny in Spain,Pablo Azorín Williams,,Documentaries
s17,Europe's Most Dangerous Man: Otto Skorzeny in Spain,Pablo Azorín Williams,,International Movies
s18,Falsa identidad,,Mexico,Crime TV Shows
s18,Falsa identidad,,Mexico,Spanish-Language TV Shows
s18,Falsa identidad,,Mexico,TV Dramas
s19,Intrusion,Adam Salky,,Thrillers
s20,Jaguar,,,International TV Shows
s20,Jaguar,,,Spanish-Language TV Shows
s20,Jaguar,,,TV Action & Adventure
s21,Monsters Inside: The 24 Faces of Billy Milligan,Olivier Megaton,,Crime TV Shows
s21,Monsters Inside: The 24 Faces of Billy Milligan,Olivier Megaton,,Docuseries
s21,Monsters Inside: The 24 Faces of Billy Milligan,Olivier Megaton,,International TV Shows
s22,Resurrection: Ertugrul,,Turkey,International TV Shows
s22,Resurrection: Ertugrul,,Turkey,TV Action & Adventure
s22,Resurrection: Ertugrul,,Turkey,TV Dramas
s23,Avvai Shanmughi,K.S. Ravikumar,,Comedies
s23,Avvai Shanmughi,K.S. Ravikumar,,International Movies
s24,Go! Go! Cory Carson: Chrissy Takes the Wheel,Alex Woo,,Children & Family Movies
s24,Go! Go! Cory Carson: Chrissy Takes the Wheel,Stanley Moore,,Children & Family Movies
s25,Jeans,S. Shankar,India,Comedies
s25,Jeans,S. Shankar,India,International Movies
s25,Jeans,S. Shankar,India,Romantic Movies
s26,Love on the Spectrum,,Australia,Docuseries
s26,Love on the Spectrum,,Australia,International TV Shows
s26,Love on the Spectrum,,Australia,Reality TV
s27,Minsara Kanavu,Rajiv Menon,,Comedies
s27,Minsara Kanavu,Rajiv Menon,,International Movies
s27,Minsara Kanavu,Rajiv Menon,,Music & Musicals
s28,Grown Ups,Dennis Dugan,United States,Comedies
s29,Dark Skies,Scott Stewart,United States,Horror Movies
s29,Dark Skies,Scott Stewart,United States,Sci-Fi & Fantasy
s30,Paranoia,Robert Luketic,United States,Thrillers
s30,Paranoia,Robert Luketic,India,Thrillers
s30,Paranoia,Robert Luketic,France,Thrillers
s31,Ankahi Kahaniya,Ashwiny Iyer Tiwari,,Dramas
s31,Ankahi Kahaniya,Ashwiny Iyer Tiwari,,Independent Movies
s31,Ankahi Kahaniya,Ashwiny Iyer Tiwari,,International Movies
s31,Ankahi Kahaniya,Abhishek Chaubey,,Dramas
s31,Ankahi Kahaniya,Abhishek Chaubey,,Independent Movies
s31,Ankahi Kahaniya,Abhishek Chaubey,,International Movies
s31,Ankahi Kahaniya,Saket Chaudhary,,Dramas
s31,Ankahi Kahaniya,Saket Chaudhary,,Independent Movies
