director,director_id
kirsten johnson,r1
julien leclercq,r2
mike flanagan,r3
robert cullen,r4
josé luis ucha,r5
haile gerima,r6
andy devonshire,r7
theodore melfi,r8
kongkiat komesiri,r9
christian schwochow,r10
bruno garotti,r11
pedro de echave garcía,r12
pablo azorín williams,r13
adam salky,r14
olivier megaton,r15
k.s. ravikumar,r16
alex woo,r17
stanley moore,r18
s. shankar,r19
rajiv menon,r20
dennis dugan,r21
scott stewart,r22
robert luketic,r23
ashwiny iyer tiwari,r24
abhishek chaubey,r25
saket chaudhary,r26
daniel sandu,r27
cédric jimenez,r28
george nolfi,r29
steven spielberg,r30
jeannot szwarc,r31
joe alves,r32
joseph sargent,r33
tyler greco,r34
daniel espinosa,r35
bunmi ajakaiye,r36
antoine fuqua,r37
toshiya shinohara,r38
masahiko murata,r39
hajime kamegaki,r40
hirotsugu kawasaki,r41
toshiyuki tsuru,r42
tensai okamura,r43
david yarovesky,r44
hanns-bruno kammertöns,r45
vanessa nöcker,r46
michael wech,r47
david a. vargas,r48
kemi adetiba,r49
ben simms,r50
prakash satam,r51
delhiprasad deenadayalan,r52
tomer eshed,r53
cedric nicolas-troyan,r54
jjc skillz,r55
funke akindele,r56
thomas sieben,r57
marcus clarke,r58
alice waddington,r59
mona achache,r60
patricia tourancheau,r61
alexis almström,r62
raja gosnell,r63
stephen kijak,r64
chapman way,r65
maclain way,r66
jason hehir,r67
yemi amodu,r68
lijo jose pellissery,r69
david de vos,r70
luis alfaro,r71
javier gómez santander,r72
sara colangelo,r73
stephen herek,r74
rahul rawail,r75
jane campion,r76
nagesh kukunoor,r77
luke holland,r78
shanker raman,r79
jp habac,r80
vidhu vinod chopra,r81
mark rosman,r82
gilles paquet-brenner,r83
lasse hallström,r84
scott pleydell-pearce,r85
ridley scott,r86
neill blomkamp,r87
phillip noyce,r88
renny harlin,r89
anthony minghella,r90
simon wincer,r91
spike lee,r92
sebastián schindel,r93
steven c. miller,r94
richard lagravenese,r95
martin campbell,r96
reginald hudlin,r97
george jackson,r98
doug mchenry,r99
eric meza,r100
gerhard mostert,r101
michael martin,r102
michael rymer,r103
andrew lau wai-keung,r104
alan mak,r105
brett weiner,r106
jim henson,r107
gary winick,r108
danishka esterhazy,r109
troy byer,r110
pang ho-cheung,r111
tim burton,r112
david zucker,r113
kinka usher,r114
sergio leone,r115
matthew o'callaghan,r116
todd wilderman,r117
bobby farrelly,r118
peter farrelly,r119
wolfgang petersen,r120
peter spirer,r121
michael carney,r122
richard linklater,r123
amy rice,r124
randal kleiser,r125
michael ritchie,r126
j. lee thompson,r127
evan goldberg,r128
seth rogen,r129
tom shadyac,r130
peter segal,r131
malcolm d. lee,r132
ramzy bedia,r133
éric judor,r134
sharan koppisetty,r135
taylor sheridan,r136
sachin yardi,r137
saurabh kabra,r138
mark waters,r139
partho mitra,r140
