,genre,genre_id
0,documentaries,g1
1,international tv shows,g2
2,tv dramas,g3
3,tv mysteries,g4
4,crime tv shows,g5
5,tv action & adventure,g6
6,docuseries,g7
7,reality tv,g8
8,romantic tv shows,g9
9,tv comedies,g10
10,tv horror,g11
11,children & family movies,g12
12,dramas,g13
13,independent movies,g14
14,international movies,g15
15,british tv shows,g16
16,comedies,g17
17,spanish-language tv shows,g18
18,thrillers,g19
19,romantic movies,g20
20,music & musicals,g21
21,horror movies,g22
22,sci-fi & fantasy,g23
23,tv thrillers,g24
24,kids' tv,g25
25,action & adventure,g26
26,tv sci-fi & fantasy,g27
27,classic movies,g28
28,anime features,g29
29,sports movies,g30
30,anime series,g31
31,korean tv shows,g32
32,science & nature tv,g33
33,teen tv shows,g34
34,cult movies,g35
35,tv shows,g36
36,faith & spirituality,g37
37,lgbtq movies,g38
